chid,subset,role,test_role,case_group,Q,U,Df,dx,L,W,H,x_fire,T_end,n_mesh_x,n_mesh_y,n_mesh_z,Uc_m_s,U_over_Uc,flow_layer,chi_r_assumed,critical_velocity_method,continuous_qdash_kW_m2,HRRPUA_kW_m2,dataset_group_id,cv_fold,access_policy,design_status,data_version,protocol_version,domain_scope,measurement_x_min_m,measurement_x_max_m,censoring_allowed,profile_target_policy,peak_target_policy,k_u_target_policy,k_d_target_policy,parameter_mask_required,scientific_confirmation_status,external_run_required,existing_result_path,result_source,reuse_chid,source_design_id,parent_chid,les_random_seed,random_seed_repeat_planned,design_reason,note
dev_23_near_critical,development,lhs_sample,,database_candidate,14.705918,2.813928,4.250000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.934383,near_critical,0.300,Li_2010_piecewise_preliminary,1036.631,919.120,dev_23_near_critical,2,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_24_strong,development,lhs_sample,,database_candidate,23.178472,4.425274,5.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.469441,strong,0.300,Li_2010_piecewise_preliminary,1180.470,1144.616,dev_24_strong,3,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_25_near_critical,development,lhs_sample,,database_candidate,91.376064,3.080906,9.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.023035,near_critical,0.300,Li_2010_piecewise_preliminary,1436.341,1427.751,dev_25_near_critical,4,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_26_no_wind,development,lhs_sample,,database_candidate,5.290500,0.000000,1.750000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,2.218727,0.000000,no_wind,0.300,Li_2010_piecewise_preliminary,2199.534,1322.625,dev_26_no_wind,0,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_27_weak,development,lhs_sample,,database_candidate,77.923333,2.050881,6.250000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.681008,weak,0.300,Li_2010_piecewise_preliminary,2539.906,2164.537,dev_27_weak,1,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_28_weak,development,lhs_sample,,database_candidate,82.433439,1.717193,7.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.570205,weak,0.300,Li_2010_piecewise_preliminary,1865.911,1682.315,dev_28_weak,2,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_29_no_wind,development,lhs_sample,,database_candidate,29.125635,0.000000,4.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.000000,no_wind,0.300,Li_2010_piecewise_preliminary,2317.744,1820.352,dev_29_no_wind,3,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_30_no_wind,development,lhs_sample,,database_candidate,65.776692,0.000000,7.250000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.000000,no_wind,0.300,Li_2010_piecewise_preliminary,1593.331,1556.845,dev_30_no_wind,4,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_31_near_critical,development,lhs_sample,,database_candidate,36.993676,3.255116,6.750000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.080883,near_critical,0.300,Li_2010_piecewise_preliminary,1033.785,1027.602,dev_31_near_critical,0,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_32_weak,development,lhs_sample,,database_candidate,38.481722,0.764179,4.750000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.253751,weak,0.300,Li_2010_piecewise_preliminary,2171.588,1900.332,dev_32_weak,1,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_33_strong,development,lhs_sample,,database_candidate,33.405310,4.214585,4.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.399481,strong,0.300,Li_2010_piecewise_preliminary,2100.393,2087.832,dev_33_strong,2,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_34_near_critical,development,lhs_sample,,database_candidate,93.969699,3.148096,9.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.045346,near_critical,0.300,Li_2010_piecewise_preliminary,1477.110,1468.277,dev_34_near_critical,3,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,yes,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_35_strong,development,lhs_sample,,database_candidate,75.406970,4.333962,8.250000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.439120,strong,0.300,Li_2010_piecewise_preliminary,1410.632,1340.568,dev_35_strong,4,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_36_weak,development,lhs_sample,,database_candidate,25.418226,1.088796,4.750000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.361542,weak,0.300,Li_2010_piecewise_preliminary,1434.393,1255.221,dev_36_weak,0,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_37_weak,development,lhs_sample,,database_candidate,59.623988,2.257040,5.750000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.749465,weak,0.300,Li_2010_piecewise_preliminary,2296.125,1971.041,dev_37_weak,1,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_38_no_wind,development,lhs_sample,,database_candidate,86.260915,0.000000,8.250000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.000000,no_wind,0.300,Li_2010_piecewise_preliminary,1613.676,1533.527,dev_38_no_wind,2,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_39_weak,development,lhs_sample,,database_candidate,99.042658,1.030209,8.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.342088,weak,0.300,Li_2010_piecewise_preliminary,1745.398,1547.542,dev_39_weak,3,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_40_strong,development,lhs_sample,,database_candidate,10.089932,4.305912,2.250000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,2.751489,1.564939,strong,0.300,Li_2010_piecewise_preliminary,2537.659,2522.483,dev_40_strong,4,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_41_weak,development,lhs_sample,,database_candidate,17.916908,2.328279,3.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.773120,weak,0.300,Li_2010_piecewise_preliminary,1862.246,1462.605,dev_41_weak,0,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_42_weak,development,lhs_sample,,database_candidate,96.194787,0.582258,9.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.193343,weak,0.300,Li_2010_piecewise_preliminary,1512.087,1503.044,dev_42_weak,1,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_43_weak,development,lhs_sample,,database_candidate,8.690355,0.534563,2.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,2.617886,0.204196,weak,0.300,Li_2010_piecewise_preliminary,1770.385,1390.457,dev_43_weak,2,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_44_weak,development,lhs_sample,,database_candidate,61.952645,1.501939,9.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.498729,weak,0.300,Li_2010_piecewise_preliminary,973.834,968.010,dev_44_weak,3,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_45_weak,development,lhs_sample,,database_candidate,44.823740,1.372502,6.750000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.455748,weak,0.300,Li_2010_piecewise_preliminary,1252.595,1245.104,dev_45_weak,4,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_46_near_critical,development,lhs_sample,,database_candidate,56.375201,2.978066,6.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.988886,near_critical,0.300,Li_2010_piecewise_preliminary,1993.865,1863.643,dev_46_near_critical,0,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
